No result,Nessun risultato,,,
No tournaments currently available,Non ci sono tornei disponibili al momento,,,
None,Nessuno,,,
Now,Ora,,,
Odds,Quote,,,
Odds format,Formato quote,,,
Open,Aperto,,,
Open bets,Scommesse aperte,,,
outrights,Outrights,,,
Over,Più di,,,
Page not found,Pagina non trovata,,,
page-top,pagina-in cima,,,
Pending,In attesa,,,
Please select a sport,Per favore seleziona uno sport,,,
Please wait while your %(value) Cash Out is being processed,Per favore attendi mentre il tuo Cash Out di %(value) viene processato,,,
Please wait while your %(value)%(currencySymbol) Cash Out is being processed,Per favore attendi mentre %(value)%(currencySymbol) Cash Out viene completato,,,
Popular,Popolare,,,
Popular events,Eventi popolari,,,
Quick Links,Link Rapidi,,,
read the rules,leggi le regole,,,
Rejected,Rifiutata,,,
Return,Ritorna,,,
Save settings,Salva impostazioni,,,
Score,Punteggio,,,
Search,Cerca,,,
Session lost! Please refresh the page,Sessione persa! Per favore ricarica la pagina,,,
Settings,Impostazioni,,,
Settings saved successfully!,Impostazioni salvate con successo!,,,
Settled,Chiusa,,,
Settled bets,Scommesse chiuse,,,
Share bet,Condividi scommessa,,,
Share bet is not available,Condividi scommessa non è al momento disponbile,,,
Shared bet page is not available,La pagina di condivisione scommessa non è al momento disponibile,,,
Show,Mostra,,,
Show more,Mostra di più,,,
Single,Singola,,,
Site Links,Link del sito,,,
Something went wrong.,Qualcosa è andato storto.,,,
Something went wrong. Trying to reconnect...,Qualcosa è andato storto. Tentativo di riconnessione...,,,
Sports,Sport,,,
Sports Betting,Scommesse sport,,,
Starts in %(countdown) min,Inizia in %(countdown) minuti,,,
Stats,Statistiche,,,
Stream,Stream,,,
The bet was cashed out at,Il Cash Out della scommessa è avvenuto a,,,
"The informations and scores displayed on site with regards to an event are to be used as a guide only. In the event of any particular wrong information or delay, we take no responsibility.","Le informazioni e i punteggi visualizzati sul sito in merito a un evento sono da intendersi solo come guida. In caso di particolari informazioni errate o ritardi, non ci assumiamo alcuna responsabilità.",,,
There was a problem fetching your settings from the server. Please refresh the page.,Si è verificato un problema durante il recupero delle impostazioni dal server. Per favore aggiorna la pagina.,,,
There was a problem saving your settings. Please try again.,Si è verificato un problema durante il salvataggio delle impostazioni. Per favore riprova.,,,
Time Left,Tempo rimasto,,,
Time Range,Intervallo di tempo,,,
TO,A,,,
To return,Ritornare,,,
Total odds,Quota totale,,,
Total stake,Puntata totale,,,
Tournament name,Nome del torneo,,,
Tournaments,Tornei,,,
Type at least %(number_of_characters) characters to search,Scrivi almeno %(number_of_characters) caratteri nelle ricerca,,,
UK,UK,,,
Under,Meno di,,,
upcoming,In arrivo,,,
US,US,,,
Used Stake,Puntata usata,,,
View all %(discipline) popular events,Vedi tutti gli eventi popolari di %(discipline),,,
View More,Vedi di più,,,
Widget,Widget,,,
Yes,Si,,,
You can place bets from %(homePage),Puoi piazzare le scommesse da %(homePage),,,
You do not have any bets in this category.,Non hai nessuna scommessa in questa categoria,,,
You must be logged in to access this page.,Devi accedere al sito per aver accesso a questa pagina,,,
You need to be logged in to see the content.,Hai bisogno di accedere al sito per vedere questo contenuto,,,
You will be redirected in: %(redirectTime),Sarai reindirizzato in: %(redirectTime),,,
You will Cash Out %(value)%(currencySymbol),Il tuo Cash Out sarà %(value)%(currencySymbol),,,
Your pick,La tua selezione,,,
